frameId,xa_above,ya_above,xb_above,yb_above,xc_above,yc_above,xd_above,yd_above,xa_side,ya_side,xb_side,yb_side,xc_side,yc_side,xd_side,yd_side, event,video,swimmerId;
862,34.519999999999996,6.25,33.519999999999996,6.25,33.519999999999996,9.375,34.519999999999996,9.375,908,1743,895,1659,958,1731,971,1820,interpolated,right,2
863,34.47891304347826,6.25,33.47891304347826,6.25,33.47891304347826,9.375,34.47891304347826,9.375,907,1739,894,1656,957,1727,970,1816,interpolated,right,2
864,34.43782608695652,6.25,33.43782608695652,6.25,33.43782608695652,9.375,34.43782608695652,9.375,907,1736,894,1652,957,1723,970,1813,interpolated,right,2
865,34.39673913043478,6.25,33.39673913043478,6.25,33.39673913043478,9.375,34.39673913043478,9.375,906,1733,893,1649,956,1720,969,1809,interpolated,right,2
866,34.35565217391304,6.25,33.35565217391304,6.25,33.35565217391304,9.375,34.35565217391304,9.375,906,1729,893,1645,956,1716,968,1806,interpolated,right,2
867,34.314565217391305,6.25,33.314565217391305,6.25,33.314565217391305,9.375,34.314565217391305,9.375,905,1726,892,1642,955,1712,968,1802,interpolated,right,2
868,34.27347826086957,6.25,33.27347826086957,6.25,33.27347826086957,9.375,34.27347826086957,9.375,905,1722,892,1638,955,1708,967,1798,interpolated,right,2
869,34.23239130434783,6.25,33.23239130434783,6.25,33.23239130434783,9.375,34.23239130434783,9.375,904,1719,891,1634,954,1705,967,1795,interpolated,right,2
870,34.19130434782609,6.25,33.19130434782609,6.25,33.19130434782609,9.375,34.19130434782609,9.375,904,1716,891,1631,953,1701,966,1791,interpolated,right,2
871,34.15021739130435,6.25,33.15021739130435,6.25,33.15021739130435,9.375,34.15021739130435,9.375,903,1712,890,1627,953,1697,966,1787,interpolated,right,2
872,34.10913043478261,6.25,33.10913043478261,6.25,33.10913043478261,9.375,34.10913043478261,9.375,903,1709,890,1624,952,1693,965,1784,interpolated,right,2
873,34.06804347826087,6.25,33.06804347826087,6.25,33.06804347826087,9.375,34.06804347826087,9.375,902,1705,889,1620,952,1690,965,1780,interpolated,right,2
874,34.02695652173913,6.25,33.02695652173913,6.25,33.02695652173913,9.375,34.02695652173913,9.375,902,1702,888,1617,951,1686,964,1777,interpolated,right,2
875,33.98586956521739,6.25,32.98586956521739,6.25,32.98586956521739,9.375,33.98586956521739,9.375,901,1698,888,1613,951,1682,964,1773,interpolated,right,2
876,33.94478260869565,6.25,32.94478260869565,6.25,32.94478260869565,9.375,33.94478260869565,9.375,901,1695,887,1610,950,1678,963,1769,interpolated,right,2
877,33.90369565217391,6.25,32.90369565217391,6.25,32.90369565217391,9.375,33.90369565217391,9.375,900,1692,887,1606,950,1674,963,1766,interpolated,right,2
878,33.86260869565217,6.25,32.86260869565217,6.25,32.86260869565217,9.375,33.86260869565217,9.375,899,1688,886,1602,949,1671,962,1762,interpolated,right,2
879,33.82152173913043,6.25,32.82152173913043,6.25,32.82152173913043,9.375,33.82152173913043,9.375,899,1685,886,1599,949,1667,962,1758,interpolated,right,2
880,33.780434782608694,6.25,32.780434782608694,6.25,32.780434782608694,9.375,33.780434782608694,9.375,898,1681,885,1595,948,1663,961,1754,interpolated,right,2
881,33.739347826086956,6.25,32.739347826086956,6.25,32.739347826086956,9.375,33.739347826086956,9.375,898,1678,885,1592,947,1659,961,1751,interpolated,right,2
882,33.69826086956522,6.25,32.69826086956522,6.25,32.69826086956522,9.375,33.69826086956522,9.375,897,1674,884,1588,947,1655,960,1747,interpolated,right,2
883,33.65717391304348,6.25,32.65717391304348,6.25,32.65717391304348,9.375,33.65717391304348,9.375,897,1671,884,1585,946,1651,960,1743,cycle,right,2
884,33.61608695652174,6.25,32.61608695652174,6.25,32.61608695652174,9.375,33.61608695652174,9.375,896,1667,883,1581,946,1648,959,1740,interpolated,right,2
885,33.575,6.25,32.575,6.25,32.575,9.375,33.575,9.375,896,1664,882,1577,945,1644,958,1736,interpolated,right,2
886,33.533913043478265,6.25,32.533913043478265,6.25,32.533913043478265,9.375,33.533913043478265,9.375,895,1660,882,1574,945,1640,958,1732,interpolated,right,2
887,33.49282608695652,6.25,32.49282608695652,6.25,32.49282608695652,9.375,33.49282608695652,9.375,895,1657,881,1570,944,1636,957,1728,interpolated,right,2
888,33.45173913043478,6.25,32.45173913043478,6.25,32.45173913043478,9.375,33.45173913043478,9.375,894,1653,881,1566,944,1632,957,1725,interpolated,right,2
889,33.41065217391304,6.25,32.41065217391304,6.25,32.41065217391304,9.375,33.41065217391304,9.375,894,1650,880,1563,943,1628,956,1721,interpolated,right,2
890,33.369565217391305,6.25,32.369565217391305,6.25,32.369565217391305,9.375,33.369565217391305,9.375,893,1646,880,1559,942,1624,956,1717,interpolated,right,2
891,33.32847826086956,6.25,32.32847826086956,6.25,32.32847826086956,9.375,33.32847826086956,9.375,892,1643,879,1556,942,1620,955,1713,interpolated,right,2
892,33.28739130434782,6.25,32.28739130434782,6.25,32.28739130434782,9.375,33.28739130434782,9.375,892,1639,879,1552,941,1616,955,1710,interpolated,right,2
893,33.24630434782608,6.25,32.24630434782608,6.25,32.24630434782608,9.375,33.24630434782608,9.375,891,1636,878,1548,941,1613,954,1706,interpolated,right,2
894,33.205217391304345,6.25,32.205217391304345,6.25,32.205217391304345,9.375,33.205217391304345,9.375,891,1632,877,1545,940,1609,954,1702,interpolated,right,2
895,33.16413043478261,6.25,32.16413043478261,6.25,32.16413043478261,9.375,33.16413043478261,9.375,890,1629,877,1541,940,1605,953,1698,interpolated,right,2
896,33.12304347826087,6.25,32.12304347826087,6.25,32.12304347826087,9.375,33.12304347826087,9.375,890,1625,876,1537,939,1601,953,1695,interpolated,right,2
897,33.08195652173913,6.25,32.08195652173913,6.25,32.08195652173913,9.375,33.08195652173913,9.375,889,1622,876,1534,939,1597,952,1691,interpolated,right,2
898,33.04086956521739,6.25,32.04086956521739,6.25,32.04086956521739,9.375,33.04086956521739,9.375,889,1618,875,1530,938,1593,951,1687,interpolated,right,2
899,32.999782608695654,6.25,31.999782608695654,6.25,31.999782608695654,9.375,32.999782608695654,9.375,888,1614,875,1526,937,1589,951,1683,interpolated,right,2
900,32.958695652173915,6.25,31.958695652173915,6.25,31.958695652173915,9.375,32.958695652173915,9.375,888,1611,874,1523,937,1585,950,1679,interpolated,right,2
901,32.91760869565218,6.25,31.917608695652177,6.25,31.917608695652177,9.375,32.91760869565218,9.375,887,1607,873,1519,936,1581,950,1676,interpolated,right,2
902,32.87652173913043,6.25,31.876521739130432,6.25,31.876521739130432,9.375,32.87652173913043,9.375,886,1604,873,1515,936,1577,949,1672,interpolated,right,2
